"cust","x","t.x","litt","sales","first","T.cal"
115,2,0.428571428571429,-3.19867311755068,636.79,2017-11-30,95.5714285714286
116,0,0,0,100,2019-06-22,14.2857142857143
117,0,0,0,130,2018-09-21,53.4285714285714
118,0,0,0,260,2019-05-26,18.1428571428571
119,2,18.4285714285714,4.43130258947711,242,2019-02-05,33.8571428571429
120,1,0.571428571428571,-0.559615787935423,830,2018-12-06,42.5714285714286
121,13,24.1428571428571,-6.58651902399131,1641.24,2017-09-09,107.285714285714
122,0,0,0,20,2019-04-01,26
123,2,1.85714285714286,-1.40691364832263,380,2019-01-19,36.2857142857143
124,11,34.8571428571429,7.27235357449121,19330,2018-06-27,65.7142857142857
125,0,0,0,70,2019-04-03,25.7142857142857
126,0,0,0,80,2019-03-09,29.2857142857143
127,0,0,0,400,2018-11-08,46.5714285714286
128,0,0,0,500,2019-08-04,8.14285714285714
129,2,0.285714285714286,-3.89182029811063,351,2018-09-10,55
130,0,0,0,104,2019-02-12,32.8571428571429
131,1,66.5714285714286,4.19827548507033,469.81,2017-08-24,109.571428571429
132,0,0,0,89,2018-06-06,68.7142857142857
133,1,0.142857142857143,-1.94591014905531,190,2019-05-18,19.2857142857143
134,0,0,0,135,2018-09-08,55.2857142857143
135,0,0,0,80,2019-06-24,14
136,1,0.428571428571429,-0.847297860387204,460,2019-03-21,27.5714285714286
137,6,52.5714285714286,8.77983349322667,782,2018-01-10,89.7142857142857
138,0,0,0,75.47,2018-05-03,73.5714285714286
139,0,0,0,200,2019-02-21,31.5714285714286
140,0,0,0,250,2019-03-01,30.4285714285714
141,0,0,0,120,2019-04-27,22.2857142857143
142,2,22.7142857142857,2.25664799780702,381,2019-03-26,26.8571428571429
143,0,0,0,130,2019-03-22,27.4285714285714
144,2,9.57142857142857,2.95405957715342,330,2019-01-25,35.4285714285714
145,0,0,0,80,2018-05-03,73.5714285714286
146,1,3.28571428571429,1.18958406687384,240,2018-11-08,46.5714285714286
147,0,0,0,80,2018-05-15,71.8571428571429
148,0,0,0,250,2018-04-01,78.1428571428571
149,0,0,0,113.2,2018-01-21,88.1428571428571
150,1,7.28571428571429,1.98591548366901,230,2019-03-10,29.1428571428571
151,0,0,0,130,2019-05-27,18
152,0,0,0,130,2019-04-25,22.5714285714286
153,2,8.85714285714286,0.219053566062694,340,2018-12-09,42.1428571428571
154,0,0,0,91,2018-06-22,66.4285714285714
155,5,12.8571428571429,-0.339559045062299,1088,2019-02-22,31.4285714285714
156,0,0,0,100,2019-03-22,27.4285714285714
157,0,0,0,180,2019-05-23,18.5714285714286
158,1,1.14285714285714,0.133531392624523,250,2019-04-05,25.4285714285714
159,0,0,0,130,2018-12-22,40.2857142857143
160,1,0.142857142857143,-1.94591014905531,133.21,2017-11-24,96.4285714285714
161,0,0,0,90,2018-09-11,54.8571428571429
162,6,18,0.343679581846656,970,2019-02-21,31.5714285714286
163,0,0,0,100,2019-02-10,33.1428571428571
164,0,0,0,120,2018-08-22,57.7142857142857
165,2,3.85714285714286,1.31218638896617,790,2019-03-18,28
166,0,0,0,100,2019-04-10,24.7142857142857
167,0,0,0,120,2019-03-16,28.2857142857143
168,1,0.285714285714286,-1.25276296849537,243.68,2018-05-11,72.4285714285714
169,0,0,0,130,2018-05-19,71.2857142857143
170,0,0,0,260,2018-10-24,48.7142857142857
171,1,0.142857142857143,-1.94591014905531,218,2019-05-27,18
172,0,0,0,80,2019-03-15,28.4285714285714
173,0,0,0,50,2019-02-21,31.5714285714286
174,11,8.14285714285714,-12.879850278543,1339,2018-05-10,72.5714285714286
175,0,0,0,182,2018-03-18,80.1428571428571
176,0,0,0,30,2019-05-02,21.5714285714286
177,5,1.42857142857143,-6.26381484247684,1940,2018-07-27,61.4285714285714
178,0,0,0,200,2018-11-04,47.1428571428571
179,4,25.5714285714286,1.98916863267275,830,2018-12-31,39
180,0,0,0,350,2018-11-15,45.5714285714286
181,2,0.428571428571429,-3.19867311755068,1698.12,2018-01-17,88.7142857142857
182,0,0,0,290,2018-09-10,55
183,0,0,0,250,2019-05-07,20.8571428571429
184,0,0,0,60,2018-12-28,39.4285714285714
185,0,0,0,130,2018-02-10,85.2857142857143
186,1,0.142857142857143,-1.94591014905531,150,2019-03-22,27.4285714285714
187,0,0,0,120,2018-12-29,39.2857142857143
188,1,0.285714285714286,-1.25276296849537,320,2019-09-28,0.285714285714286
189,0,0,0,100,2018-04-30,74
190,0,0,0,176,2018-05-08,72.8571428571429
191,2,31.2857142857143,5.49984113032593,342.98,2017-11-24,96.4285714285714
192,1,3.71428571428571,1.31218638896617,319.5,2019-03-03,30.1428571428571
193,0,0,0,250,2019-06-16,15.1428571428571
194,0,0,0,150,2019-05-16,19.5714285714286
195,2,0.285714285714286,-3.89182029811063,360,2019-03-25,27
196,0,0,0,180,2017-09-15,106.428571428571
197,0,0,0,100,2019-06-21,14.4285714285714
198,1,0.714285714285714,-0.336472236621213,178,2019-06-14,15.4285714285714
199,1,3.42857142857143,1.23214368129263,160,2018-07-12,63.5714285714286
200,3,1.14285714285714,-4.04597097793788,600,2018-08-11,59.2857142857143
201,1,0.142857142857143,-1.94591014905531,130,2019-02-09,33.2857142857143
202,0,0,0,110,2019-01-07,38
203,0,0,0,120,2018-05-17,71.5714285714286
204,0,0,0,120,2018-06-09,68.2857142857143
205,0,0,0,120,2018-10-21,49.1428571428571
206,0,0,0,80,2019-05-02,21.5714285714286
207,1,0.571428571428571,-0.559615787935423,390,2018-07-17,62.8571428571429
208,0,0,0,80,2019-06-15,15.2857142857143
209,0,0,0,80,2018-09-21,53.4285714285714
210,0,0,0,78,2019-05-22,18.7142857142857
